date,store,item,sales,sales (t-1),sales (t-2),sales (t-3)
06/22/2013,1,1,23,19,24,18
06/23/2013,1,1,24,23,19,24
06/24/2013,1,1,17,24,23,19
06/25/2013,1,1,21,17,24,23
06/26/2013,1,1,21,21,17,24
06/27/2013,1,1,26,21,21,17
06/28/2013,1,1,17,26,21,21
06/29/2013,1,1,20,17,26,21
06/30/2013,1,1,24,20,17,26
07/01/2013,1,1,23,24,20,17
07/02/2013,1,1,17,23,24,20
07/03/2013,1,1,12,17,23,24
07/04/2013,1,1,24,12,17,23
07/05/2013,1,1,17,24,12,17
07/06/2013,1,1,16,17,24,12
07/07/2013,1,1,34,16,17,24
07/08/2013,1,1,20,34,16,17
07/09/2013,1,1,23,20,34,16
07/10/2013,1,1,14,23,20,34
07/11/2013,1,1,25,14,23,20
07/12/2013,1,1,29,25,14,23
07/13/2013,1,1,22,29,25,14
07/14/2013,1,1,29,22,29,25
07/15/2013,1,1,18,29,22,29
07/16/2013,1,1,12,18,29,22
07/17/2013,1,1,16,12,18,29
07/18/2013,1,1,21,16,12,18
07/19/2013,1,1,25,21,16,12
07/20/2013,1,1,25,25,21,16
07/21/2013,1,1,26,25,25,21
07/22/2013,1,1,18,26,25,25
07/23/2013,1,1,17,18,26,25
07/24/2013,1,1,21,17,18,26
07/25/2013,1,1,21,21,17,18
07/26/2013,1,1,31,21,21,17
07/27/2013,1,1,19,31,21,21
07/28/2013,1,1,25,19,31,21
07/29/2013,1,1,8,25,19,31
07/30/2013,1,1,26,8,25,19
07/31/2013,1,1,27,26,8,25
08/01/2013,1,1,21,27,26,8
08/02/2013,1,1,19,21,27,26
08/03/2013,1,1,24,19,21,27
08/04/2013,1,1,26,24,19,21
08/05/2013,1,1,17,26,24,19
08/06/2013,1,1,10,17,26,24
08/07/2013,1,1,25,10,17,26
08/08/2013,1,1,20,25,10,17
08/09/2013,1,1,19,20,25,10
08/10/2013,1,1,22,19,20,25
08/11/2013,1,1,25,22,19,20
08/12/2013,1,1,10,25,22,19
08/13/2013,1,1,11,10,25,22
08/14/2013,1,1,19,11,10,25
08/15/2013,1,1,22,19,11,10
08/16/2013,1,1,15,22,19,11
08/17/2013,1,1,29,15,22,19
08/18/2013,1,1,27,29,15,22
08/19/2013,1,1,11,27,29,15
08/20/2013,1,1,15,11,27,29
08/21/2013,1,1,20,15,11,27
08/22/2013,1,1,20,20,15,11
08/23/2013,1,1,19,20,20,15
08/24/2013,1,1,19,19,20,20
08/25/2013,1,1,23,19,19,20
08/26/2013,1,1,11,23,19,19
08/27/2013,1,1,16,11,23,19
08/28/2013,1,1,20,16,11,23
08/29/2013,1,1,14,20,16,11
08/30/2013,1,1,20,14,20,16
08/31/2013,1,1,25,20,14,20
09/01/2013,1,1,25,25,20,14
09/02/2013,1,1,10,25,25,20
09/03/2013,1,1,16,10,25,25
09/04/2013,1,1,10,16,10,25
09/05/2013,1,1,16,10,16,10
09/06/2013,1,1,20,16,10,16
09/07/2013,1,1,20,20,16,10
09/08/2013,1,1,19,20,20,16
09/09/2013,1,1,15,19,20,20
09/10/2013,1,1,17,15,19,20
09/11/2013,1,1,26,17,15,19
09/12/2013,1,1,14,26,17,15
09/13/2013,1,1,16,14,26,17
09/14/2013,1,1,27,16,14,26
09/15/2013,1,1,14,27,16,14
09/16/2013,1,1,16,14,27,16
09/17/2013,1,1,20,16,14,27
09/18/2013,1,1,18,20,16,14
09/19/2013,1,1,16,18,20,16
09/20/2013,1,1,11,16,18,20
09/21/2013,1,1,13,11,16,18
09/22/2013,1,1,16,13,11,16
09/23/2013,1,1,18,16,13,11
09/24/2013,1,1,14,18,16,13
09/25/2013,1,1,17,14,18,16
09/26/2013,1,1,20,17,14,18
09/27/2013,1,1,22,20,17,14
09/28/2013,1,1,13,22,20,17
09/29/2013,1,1,20,13,22,20
09/30/2013,1,1,20,20,13,22
10/01/2013,1,1,12,20,20,13
10/02/2013,1,1,11,12,20,20
10/03/2013,1,1,14,11,12,20
10/04/2013,1,1,14,14,11,12
10/05/2013,1,1,14,14,14,11
10/06/2013,1,1,20,14,14,14
10/07/2013,1,1,13,20,14,14
10/08/2013,1,1,13,13,20,14
10/09/2013,1,1,14,13,13,20
10/10/2013,1,1,20,14,13,13
10/11/2013,1,1,17,20,14,13
10/12/2013,1,1,17,17,20,14
10/13/2013,1,1,20,17,17,20
10/14/2013,1,1,15,20,17,17
10/15/2013,1,1,15,15,20,17
10/16/2013,1,1,15,15,15,20
10/17/2013,1,1,10,15,15,15
10/18/2013,1,1,10,10,15,15
10/19/2013,1,1,18,10,10,15
10/20/2013,1,1,25,18,10,10
10/21/2013,1,1,13,25,18,10
10/22/2013,1,1,11,13,25,18
10/23/2013,1,1,16,11,13,25
10/24/2013,1,1,17,16,11,13
10/25/2013,1,1,18,17,16,11
10/26/2013,1,1,19,18,17,16
10/27/2013,1,1,14,19,18,17
10/28/2013,1,1,11,14,19,18
10/29/2013,1,1,17,11,14,19
10/30/2013,1,1,20,17,11,14
10/31/2013,1,1,21,20,17,11
11/01/2013,1,1,20,21,20,17
11/02/2013,1,1,24,20,21,20
11/03/2013,1,1,19,24,20,21
11/04/2013,1,1,12,19,24,20
11/05/2013,1,1,20,12,19,24
11/06/2013,1,1,16,20,12,19
11/07/2013,1,1,17,16,20,12
11/08/2013,1,1,22,17,16,20
11/09/2013,1,1,18,22,17,16
11/10/2013,1,1,23,18,22,17
11/11/2013,1,1,16,23,18,22
11/12/2013,1,1,20,16,23,18
11/13/2013,1,1,20,20,16,23
11/14/2013,1,1,9,20,20,16
11/15/2013,1,1,18,9,20,20
11/16/2013,1,1,13,18,9,20
11/17/2013,1,1,17,13,18,9
11/18/2013,1,1,17,17,13,18
11/19/2013,1,1,18,17,17,13
11/20/2013,1,1,17,18,17,17
11/21/2013,1,1,16,17,18,17
11/22/2013,1,1,17,16,17,18
11/23/2013,1,1,31,17,16,17
11/24/2013,1,1,20,31,17,16
11/25/2013,1,1,16,20,31,17
11/26/2013,1,1,25,16,20,31
11/27/2013,1,1,25,25,16,20
11/28/2013,1,1,17,25,25,16
11/29/2013,1,1,19,17,25,25
11/30/2013,1,1,30,19,17,25
12/01/2013,1,1,16,30,19,17
12/02/2013,1,1,8,16,30,19
12/03/2013,1,1,21,8,16,30
12/04/2013,1,1,6,21,8,16
12/05/2013,1,1,13,6,21,8
12/06/2013,1,1,15,13,6,21
12/07/2013,1,1,17,15,13,6
12/08/2013,1,1,17,17,15,13
12/09/2013,1,1,8,17,17,15
12/10/2013,1,1,14,8,17,17
12/11/2013,1,1,7,14,8,17
12/12/2013,1,1,5,7,14,8
12/13/2013,1,1,13,5,7,14
12/14/2013,1,1,16,13,5,7
12/15/2013,1,1,15,16,13,5
12/16/2013,1,1,15,15,16,13
12/17/2013,1,1,8,15,15,16
12/18/2013,1,1,18,8,15,15
12/19/2013,1,1,7,18,8,15
12/20/2013,1,1,13,7,18,8
12/21/2013,1,1,11,13,7,18
12/22/2013,1,1,9,11,13,7
12/23/2013,1,1,8,9,11,13
12/24/2013,1,1,17,8,9,11
12/25/2013,1,1,6,17,8,9
12/26/2013,1,1,16,6,17,8
12/27/2013,1,1,18,16,6,17
12/28/2013,1,1,17,18,16,6
12/29/2013,1,1,14,17,18,16
12/30/2013,1,1,5,14,17,18
12/31/2013,1,1,15,5,14,17
01/01/2014,1,1,9,15,5,14
01/02/2014,1,1,14,9,15,5
01/03/2014,1,1,11,14,9,15
01/04/2014,1,1,20,11,14,9
01/05/2014,1,1,17,20,11,14
01/06/2014,1,1,14,17,20,11
01/07/2014,1,1,11,14,17,20
01/08/2014,1,1,12,11,14,17
01/09/2014,1,1,17,12,11,14
01/10/2014,1,1,12,17,12,11
01/11/2014,1,1,17,12,17,12
01/12/2014,1,1,12,17,12,17
01/13/2014,1,1,12,12,17,12
01/14/2014,1,1,17,12,12,17
01/15/2014,1,1,17,17,12,12
01/16/2014,1,1,15,17,17,12
01/17/2014,1,1,18,15,17,17
01/18/2014,1,1,15,18,15,17
01/19/2014,1,1,12,15,18,15
01/20/2014,1,1,6,12,15,18
01/21/2014,1,1,7,6,12,15
01/22/2014,1,1,21,7,6,12
01/23/2014,1,1,18,21,7,6
01/24/2014,1,1,18,18,21,7
01/25/2014,1,1,21,18,18,21
01/26/2014,1,1,16,21,18,18
01/27/2014,1,1,8,16,21,18
01/28/2014,1,1,6,8,16,21
01/29/2014,1,1,13,6,8,16
01/30/2014,1,1,11,13,6,8
01/31/2014,1,1,18,11,13,6
02/01/2014,1,1,13,18,11,13
02/02/2014,1,1,16,13,18,11
02/03/2014,1,1,10,16,13,18
02/04/2014,1,1,9,10,16,13
02/05/2014,1,1,21,9,10,16
02/06/2014,1,1,17,21,9,10
02/07/2014,1,1,15,17,21,9
02/08/2014,1,1,15,15,17,21
02/09/2014,1,1,18,15,15,17
02/10/2014,1,1,10,18,15,15
02/11/2014,1,1,10,10,18,15
02/12/2014,1,1,9,10,10,18
02/13/2014,1,1,22,9,10,10
02/14/2014,1,1,20,22,9,10
02/15/2014,1,1,20,20,22,9
02/16/2014,1,1,13,20,20,22
02/17/2014,1,1,11,13,20,20
02/18/2014,1,1,11,11,13,20
02/19/2014,1,1,16,11,11,13
02/20/2014,1,1,19,16,11,11
02/21/2014,1,1,16,19,16,11
02/22/2014,1,1,17,16,19,16
02/23/2014,1,1,13,17,16,19
02/24/2014,1,1,7,13,17,16
02/25/2014,1,1,14,7,13,17
02/26/2014,1,1,17,14,7,13
02/27/2014,1,1,10,17,14,7
02/28/2014,1,1,16,10,17,14
03/01/2014,1,1,20,16,10,17
03/02/2014,1,1,15,20,16,10
03/03/2014,1,1,12,15,20,16
03/04/2014,1,1,11,12,15,20
03/05/2014,1,1,18,11,12,15
03/06/2014,1,1,19,18,11,12
03/07/2014,1,1,21,19,18,11
03/08/2014,1,1,14,21,19,18
03/09/2014,1,1,21,14,21,19
03/10/2014,1,1,13,21,14,21
03/11/2014,1,1,14,13,21,14
03/12/2014,1,1,24,14,13,21
03/13/2014,1,1,17,24,14,13
03/14/2014,1,1,16,17,24,14
03/15/2014,1,1,22,16,17,24
03/16/2014,1,1,31,22,16,17
03/17/2014,1,1,19,31,22,16
03/18/2014,1,1,17,19,31,22
03/19/2014,1,1,24,17,19,31
03/20/2014,1,1,21,24,17,19
03/21/2014,1,1,18,21,24,17
03/22/2014,1,1,20,18,21,24
03/23/2014,1,1,25,20,18,21
03/24/2014,1,1,4,25,20,18
03/25/2014,1,1,15,4,25,20
03/26/2014,1,1,17,15,4,25
03/27/2014,1,1,17,17,15,4
03/28/2014,1,1,16,17,17,15
03/29/2014,1,1,18,16,17,17
03/30/2014,1,1,15,18,16,17
03/31/2014,1,1,15,15,18,16
04/01/2014,1,1,19,15,15,18
04/02/2014,1,1,11,19,15,15
04/03/2014,1,1,16,11,19,15
04/04/2014,1,1,17,16,11,19
04/05/2014,1,1,21,17,16,11
04/06/2014,1,1,26,21,17,16
04/07/2014,1,1,19,26,21,17
04/08/2014,1,1,19,19,26,21
04/09/2014,1,1,20,19,19,26
04/10/2014,1,1,18,20,19,19
04/11/2014,1,1,23,18,20,19
04/12/2014,1,1,19,23,18,20
04/13/2014,1,1,22,19,23,18
04/14/2014,1,1,20,22,19,23
04/15/2014,1,1,22,20,22,19
04/16/2014,1,1,20,22,20,22
04/17/2014,1,1,18,20,22,20
04/18/2014,1,1,20,18,20,22
04/19/2014,1,1,22,20,18,20
04/20/2014,1,1,22,22,20,18
04/21/2014,1,1,17,22,22,20
04/22/2014,1,1,12,17,22,22
04/23/2014,1,1,16,12,17,22
04/24/2014,1,1,25,16,12,17
04/25/2014,1,1,22,25,16,12
04/26/2014,1,1,21,22,25,16
04/27/2014,1,1,20,21,22,25
04/28/2014,1,1,15,20,21,22
04/29/2014,1,1,18,15,20,21
04/30/2014,1,1,13,18,15,20
05/01/2014,1,1,22,13,18,15
05/02/2014,1,1,19,22,13,18
05/03/2014,1,1,22,19,22,13
05/04/2014,1,1,23,22,19,22
05/05/2014,1,1,21,23,22,19
05/06/2014,1,1,19,21,23,22
05/07/2014,1,1,21,19,21,23
05/08/2014,1,1,15,21,19,21
05/09/2014,1,1,18,15,21,19
05/10/2014,1,1,16,18,15,21
05/11/2014,1,1,27,16,18,15
05/12/2014,1,1,16,27,16,18
05/13/2014,1,1,22,16,27,16
05/14/2014,1,1,21,22,16,27
05/15/2014,1,1,22,21,22,16
05/16/2014,1,1,23,22,21,22
05/17/2014,1,1,18,23,22,21
05/18/2014,1,1,36,18,23,22
05/19/2014,1,1,12,36,18,23
05/20/2014,1,1,23,12,36,18
05/21/2014,1,1,16,23,12,36
05/22/2014,1,1,25,16,23,12
05/23/2014,1,1,28,25,16,23
05/24/2014,1,1,25,28,25,16
05/25/2014,1,1,20,25,28,25
05/26/2014,1,1,15,20,25,28
05/27/2014,1,1,13,15,20,25
05/28/2014,1,1,13,13,15,20
05/29/2014,1,1,20,13,13,15
05/30/2014,1,1,29,20,13,13
05/31/2014,1,1,31,29,20,13
06/01/2014,1,1,24,31,29,20
06/02/2014,1,1,16,24,31,29
06/03/2014,1,1,23,16,24,31
06/04/2014,1,1,20,23,16,24
06/05/2014,1,1,24,20,23,16
06/06/2014,1,1,23,24,20,23
06/07/2014,1,1,27,23,24,20
06/08/2014,1,1,29,27,23,24
06/09/2014,1,1,18,29,27,23
06/10/2014,1,1,14,18,29,27
06/11/2014,1,1,22,14,18,29
06/12/2014,1,1,22,22,14,18
06/13/2014,1,1,25,22,22,14
06/14/2014,1,1,29,25,22,22
06/15/2014,1,1,33,29,25,22
06/16/2014,1,1,25,33,29,25
06/17/2014,1,1,32,25,33,29
06/18/2014,1,1,20,32,25,33
06/19/2014,1,1,22,20,32,25
06/20/2014,1,1,19,22,20,32
06/21/2014,1,1,26,19,22,20
06/22/2014,1,1,37,26,19,22
06/23/2014,1,1,19,37,26,19
06/24/2014,1,1,24,19,37,26
06/25/2014,1,1,21,24,19,37
06/26/2014,1,1,18,21,24,19
06/27/2014,1,1,29,18,21,24
06/28/2014,1,1,34,29,18,21
06/29/2014,1,1,19,34,29,18
06/30/2014,1,1,16,19,34,29
07/01/2014,1,1,16,16,19,34
07/02/2014,1,1,24,16,16,19
07/03/2014,1,1,25,24,16,16
07/04/2014,1,1,28,25,24,16
07/05/2014,1,1,25,28,25,24
07/06/2014,1,1,34,25,28,25
07/07/2014,1,1,16,34,25,28
07/08/2014,1,1,25,16,34,25
07/09/2014,1,1,27,25,16,34
07/10/2014,1,1,23,27,25,16
07/11/2014,1,1,25,23,27,25
07/12/2014,1,1,22,25,23,27
07/13/2014,1,1,24,22,25,23
07/14/2014,1,1,21,24,22,25
07/15/2014,1,1,24,21,24,22
07/16/2014,1,1,17,24,21,24
07/17/2014,1,1,26,17,24,21
07/18/2014,1,1,25,26,17,24
07/19/2014,1,1,31,25,26,17
07/20/2014,1,1,26,31,25,26
07/21/2014,1,1,21,26,31,25
07/22/2014,1,1,30,21,26,31
07/23/2014,1,1,19,30,21,26
07/24/2014,1,1,26,19,30,21
07/25/2014,1,1,24,26,19,30
07/26/2014,1,1,29,24,26,19
07/27/2014,1,1,35,29,24,26
07/28/2014,1,1,11,35,29,24
07/29/2014,1,1,19,11,35,29
07/30/2014,1,1,25,19,11,35
07/31/2014,1,1,23,25,19,11
08/01/2014,1,1,12,23,25,19
08/02/2014,1,1,23,12,23,25
08/03/2014,1,1,27,23,12,23
08/04/2014,1,1,20,27,23,12
08/05/2014,1,1,19,20,27,23
08/06/2014,1,1,25,19,20,27
08/07/2014,1,1,21,25,19,20
08/08/2014,1,1,27,21,25,19
08/09/2014,1,1,27,27,21,25
08/10/2014,1,1,22,27,27,21
08/11/2014,1,1,22,22,27,27
08/12/2014,1,1,20,22,22,27
08/13/2014,1,1,11,20,22,22
08/14/2014,1,1,17,11,20,22
08/15/2014,1,1,21,17,11,20
08/16/2014,1,1,20,21,17,11
08/17/2014,1,1,31,20,21,17
08/18/2014,1,1,25,31,20,21
08/19/2014,1,1,15,25,31,20
08/20/2014,1,1,21,15,25,31
08/21/2014,1,1,20,21,15,25
08/22/2014,1,1,21,20,21,15
08/23/2014,1,1,26,21,20,21
08/24/2014,1,1,26,26,21,20
08/25/2014,1,1,12,26,26,21
08/26/2014,1,1,25,12,26,26
08/27/2014,1,1,21,25,12,26
08/28/2014,1,1,19,21,25,12
08/29/2014,1,1,17,19,21,25
08/30/2014,1,1,30,17,19,21
08/31/2014,1,1,28,30,17,19
09/01/2014,1,1,16,28,30,17
09/02/2014,1,1,15,16,28,30
09/03/2014,1,1,22,15,16,28
09/04/2014,1,1,26,22,15,16
09/05/2014,1,1,27,26,22,15
09/06/2014,1,1,21,27,26,22
09/07/2014,1,1,25,21,27,26
09/08/2014,1,1,12,25,21,27
09/09/2014,1,1,22,12,25,21
09/10/2014,1,1,16,22,12,25
09/11/2014,1,1,15,16,22,12
09/12/2014,1,1,25,15,16,22
09/13/2014,1,1,17,25,15,16
09/14/2014,1,1,26,17,25,15
09/15/2014,1,1,12,26,17,25
09/16/2014,1,1,15,12,26,17
09/17/2014,1,1,17,15,12,26
09/18/2014,1,1,18,17,15,12
09/19/2014,1,1,21,18,17,15
09/20/2014,1,1,21,21,18,17
09/21/2014,1,1,20,21,21,18
09/22/2014,1,1,15,20,21,21
09/23/2014,1,1,20,15,20,21
09/24/2014,1,1,14,20,15,20
09/25/2014,1,1,17,14,20,15
09/26/2014,1,1,23,17,14,20
09/27/2014,1,1,13,23,17,14
09/28/2014,1,1,22,13,23,17
09/29/2014,1,1,18,22,13,23
09/30/2014,1,1,15,18,22,13
10/01/2014,1,1,12,15,18,22
10/02/2014,1,1,15,12,15,18
10/03/2014,1,1,24,15,12,15
10/04/2014,1,1,27,24,15,12
10/05/2014,1,1,33,27,24,15
10/06/2014,1,1,9,33,27,24
10/07/2014,1,1,10,9,33,27
10/08/2014,1,1,25,10,9,33
10/09/2014,1,1,18,25,10,9
10/10/2014,1,1,19,18,25,10
10/11/2014,1,1,28,19,18,25
10/12/2014,1,1,29,28,19,18
10/13/2014,1,1,6,29,28,19
10/14/2014,1,1,20,6,29,28
10/15/2014,1,1,21,20,6,29
10/16/2014,1,1,17,21,20,6
10/17/2014,1,1,18,17,21,20
10/18/2014,1,1,22,18,17,21
10/19/2014,1,1,13,22,18,17
10/20/2014,1,1,8,13,22,18
10/21/2014,1,1,19,8,13,22
10/22/2014,1,1,14,19,8,13
10/23/2014,1,1,18,14,19,8
10/24/2014,1,1,17,18,14,19
10/25/2014,1,1,21,17,18,14
10/26/2014,1,1,22,21,17,18
10/27/2014,1,1,15,22,21,17
10/28/2014,1,1,12,15,22,21
10/29/2014,1,1,11,12,15,22
10/30/2014,1,1,12,11,12,15
10/31/2014,1,1,20,12,11,12
11/01/2014,1,1,17,20,12,11
11/02/2014,1,1,33,17,20,12
11/03/2014,1,1,16,33,17,20
11/04/2014,1,1,16,16,33,17
11/05/2014,1,1,15,16,16,33
11/06/2014,1,1,22,15,16,16
11/07/2014,1,1,22,22,15,16
11/08/2014,1,1,12,22,22,15
11/09/2014,1,1,28,12,22,22
11/10/2014,1,1,16,28,12,22
11/11/2014,1,1,12,16,28,12
11/12/2014,1,1,18,12,16,28
11/13/2014,1,1,18,18,12,16
11/14/2014,1,1,25,18,18,12
11/15/2014,1,1,24,25,18,18
11/16/2014,1,1,18,24,25,18
11/17/2014,1,1,17,18,24,25
11/18/2014,1,1,18,17,18,24
11/19/2014,1,1,19,18,17,18
11/20/2014,1,1,17,19,18,17
11/21/2014,1,1,28,17,19,18
11/22/2014,1,1,20,28,17,19
11/23/2014,1,1,29,20,28,17
11/24/2014,1,1,18,29,20,28
11/25/2014,1,1,19,18,29,20
11/26/2014,1,1,23,19,18,29
11/27/2014,1,1,23,23,19,18
11/28/2014,1,1,24,23,23,19
11/29/2014,1,1,28,24,23,23
11/30/2014,1,1,24,28,24,23
12/01/2014,1,1,10,24,28,24
12/02/2014,1,1,17,10,24,28
12/03/2014,1,1,9,17,10,24
12/04/2014,1,1,10,9,17,10
12/05/2014,1,1,14,10,9,17
12/06/2014,1,1,16,14,10,9
12/07/2014,1,1,11,16,14,10
12/08/2014,1,1,13,11,16,14
12/09/2014,1,1,13,13,11,16
12/10/2014,1,1,14,13,13,11
12/11/2014,1,1,12,14,13,13
12/12/2014,1,1,10,12,14,13
12/13/2014,1,1,16,10,12,14
12/14/2014,1,1,13,16,10,12
12/15/2014,1,1,14,13,16,10
12/16/2014,1,1,11,14,13,16
12/17/2014,1,1,15,11,14,13
12/18/2014,1,1,10,15,11,14
12/19/2014,1,1,11,10,15,11
12/20/2014,1,1,19,11,10,15
12/21/2014,1,1,18,19,11,10
12/22/2014,1,1,8,18,19,11
12/23/2014,1,1,13,8,18,19
12/24/2014,1,1,16,13,8,18
12/25/2014,1,1,20,16,13,8
12/26/2014,1,1,12,20,16,13
12/27/2014,1,1,15,12,20,16
12/28/2014,1,1,17,15,12,20
12/29/2014,1,1,9,17,15,12
12/30/2014,1,1,11,9,17,15
12/31/2014,1,1,12,11,9,17
01/01/2015,1,1,11,12,11,9
01/02/2015,1,1,19,11,12,11
01/03/2015,1,1,16,19,11,12
